token	lemma	pos	msd	msd_morph	msd_mode	msd_temps	msd_pers	msd_nomb	msd_genre	msd_cas	norm	ner	
eût	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s		MODE=sub|		PERS.=3	NOMB.=s			eût	O	
pas	pas	ADVneg	MORPH=empty	MORPH=empty							pas	O	
eſté	ester	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		été	O	
chercher	chercher	VERinf	MORPH=empty	MORPH=empty							chercher	O	
dans	dans	PRE	MORPH=empty	MORPH=empty							dans	O	
le	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		le	O	
repos	repos	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		repos	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
voſtre	vôtre	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		votre	O	
maiſon	maison	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		maison	O	
pour	pour	PRE	MORPH=empty	MORPH=empty							pour	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
mettre	mettre	VERinf	MORPH=empty	MORPH=empty							mettre	O	
entre	entre	PRE	MORPH=empty	MORPH=empty							entre	O	
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		les	O	
mains	main	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		mains	O	
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		les	O	
armes	arme	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		armes	O	
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		du	O	
Roy	Roy	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		Roi	B-func	
ſi	si	CONsub	MORPH=empty	MORPH=empty							si	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
n’	ne	ADVneg	MORPH=empty	MORPH=empty									
eſtiez	ester	VERcjg	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			étiez	O	
celuy	celuy	VERppe	NOMB.=s					NOMB.=s			celui	O	
-	-	PONfbl	MORPH=empty	MORPH=empty									
là	là	ADVgen	MORPH=empty	MORPH=empty							là	O	
dont	dont	PROrel	MORPH=empty	MORPH=empty							dont	O	
tout	tout	DETind	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		tout	O	
le	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		le	O	
monde	monde	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		monde	O	
attẽd	attedre	VERcjg	NOMB.=s					NOMB.=s			attend	O	
le	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		le	O	
reſtabliſſement	restablissement	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		rétablissement	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
ſes	son	DETpos	PERS.=3|NOMB.=p|GENRE=f				PERS.=3	NOMB.=p	GENRE=f		ses	O	
affaires	affaire	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		affaires	O	
.	.	PONfrt	MORPH=empty	MORPH=empty							.	O	
Ie	Ie	PROper	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		je	O	
ne	ne	ADVneg	MORPH=empty	MORPH=empty							ne	O	
me	je	PROper	PERS.=1|NOMB.=s|CAS=r				PERS.=1	NOMB.=s		CAS=r	me	O	
fie	fier	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s		MODE=sub|		PERS.=3	NOMB.=s			fie	O	
pas	pas	ADVneg	MORPH=empty	MORPH=empty							pas	O	
tant	tant	ADVgen	MORPH=empty	MORPH=empty							tant	O	
en	en	PRE	MORPH=empty	MORPH=empty							en	O	
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m				PERS.=1	NOMB.=s	GENRE=m		mon	O	
opiniõ	opini	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		opinion	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
ie	je	PROper	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		je	O	
veuille	vouloir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s		MODE=sub|		PERS.=3	NOMB.=s			veuille	O	
reſpondre	respondre	VERinf	MORPH=empty	MORPH=empty							répondre	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
l’	il	PROper	PERS.=3|NOMB.=s				PERS.=3	NOMB.=s					
auenir	auenir	VERinf	NOMB.=s					NOMB.=s			avenir	O	
:	:	PONfbl	MORPH=empty	MORPH=empty							:	O	
Toutesfois	toutesfois	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		Toutefois	O	
quand	quand	CONsub	MORPH=empty	MORPH=empty							quand	O	
ie	je	PROper	MORPH=empty	MORPH=empty							je	O	
conſidere	considérer	VERinf	NOMB.=s					NOMB.=s			considère	O	
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		les	O	
actiõs	actit	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		actions	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
voſtre	vôtre	DETind	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		votre	O	
vie	vie	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		vie	O	
qui	qui	PROrel	MORPH=empty	MORPH=empty							qui	O	
ſont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p		MODE=ind|		PERS.=3	NOMB.=p			sont	O	
telles	tel	ADJind	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		telles	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
nous	nous	PROper	PERS.=1|NOMB.=p				PERS.=1	NOMB.=p			nous	O	
auons	avoir	VERcjg	NOMB.=p					NOMB.=p			avons	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		la	O	
peine	peine	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		peine	O	
à	à	PRE	MORPH=empty	MORPH=empty							à	O	
les	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r				PERS.=3	NOMB.=p	GENRE=m	CAS=r	les	O	
croire	croire	VERinf	MORPH=empty	MORPH=empty							croire	O	
apres	apre	VERppe	NOMB.=p					NOMB.=p			après	O	
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		les	O	
auoir	auoir	VERinf	NOMB.=s					NOMB.=s			avoir	O	
veuës	veuoir	VERppe	NOMB.=s					NOMB.=s			vues	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
&	s	PROcar	MORPH=empty	MORPH=empty							et	O	
en	en	PRE	MORPH=empty	MORPH=empty							en	O	
tel	tel	DETind	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		tel	O	
nombre	nombre	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		nombre	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
qu’	que	PROrel	MORPH=empty	MORPH=empty									
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n	il	O	
ſemble	sembler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			semble	O	
aux	à_le	PRE.DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		aux	O	
eſtrangers	estranger	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		étrangers	O	
que	que	PROrel	MORPH=empty	MORPH=empty							que	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
viuiez	viurer	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p		MODE=ind|		PERS.=2	NOMB.=p			viviez	O	
dés	dé	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		dès	O	
le	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		le	O	
commencement	commencement	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		commencement	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
noſtre	nostre	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		notre	O	
Monarchie	Monarchie	NOMpro	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		Monarchie	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
ie	je	PROper	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		je	O	
penſe	penser	VERcjg	MODE=sub|PERS.=3|NOMB.=s		MODE=sub|		PERS.=3	NOMB.=s			pense	O	
pouuoir	pouuoir	VERinf	MORPH=empty	MORPH=empty							pouvoir	O	
dire	dire	VERinf	MORPH=empty	MORPH=empty							dire	O	
auec	auec	ADVgen	GENRE=f						GENRE=f		avec	O	
verité	veriter	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		vérité	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
s’	si	CONsub	MORPH=empty	MORPH=empty									
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n	il	O	
y	y	PROadv	MORPH=empty	MORPH=empty							y	O	
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			a	O	
encore	encore	ADVgen	MORPH=empty	MORPH=empty							encore	O	
quelque	quelque	DETrel	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		quelque	O	
choſe	chose	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		chose	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
grand	grand	ADJqua	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		grand	O	
à	à	PRE	MORPH=empty	MORPH=empty							à	O	
faire	faire	VERinf	MORPH=empty	MORPH=empty							faire	O	
dans	dans	PRE	MORPH=empty	MORPH=empty							dans	O	
le	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		le	O	
monde	monde	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		monde	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n	il	O	
ne	ne	ADVneg	MORPH=empty	MORPH=empty							ne	O	
faut	falloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			faut	O	
pas	pas	ADVneg	MORPH=empty	MORPH=empty							pas	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
ce	ce	PROdem	NOMB.=s|GENRE=n					NOMB.=s	GENRE=n		ce	O	
ſoit	être	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s		MODE=sub|		PERS.=3	NOMB.=s			soit	O	
vn	vn	PROadv	MORPH=empty	MORPH=empty							un	O	
autre	autre	PROind	NOMB.=s					NOMB.=s			autre	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
qui	qui	PROrel	MORPH=empty	MORPH=empty							qui	O	
l’	il	PROper	PERS.=3|NOMB.=s|CAS=r				PERS.=3	NOMB.=s		CAS=r			
entreprene	entreprendre	VERcjg	NOMB.=s					NOMB.=s			entreprenne	O	
.	.	PONfrt	MORPH=empty	MORPH=empty							.	O	
Vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			Vous	O	
auez	auez	VERcjg	MODE=ind|PERS.=2|NOMB.=p		MODE=ind|		PERS.=2	NOMB.=p			avez	O	
poſſedé	posseder	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		possédé	O	
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		les	O	
bonnes	bon	ADJqua	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		bonnes	O	
graces	grâce	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		grâces	O	
des	de_le	PRE.DETdef	NOMB.=p					NOMB.=p			des	O	
Roys	Roys	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f		Rois	O	
comme	comme	CONsub	MORPH=empty	MORPH=empty							comme	O	
des	un	DETndf	NOMB.=p					NOMB.=p			des	O	
biens	bien	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		biens	O	
qui	qui	PROrel	MORPH=empty	MORPH=empty							qui	O	
ſe	se	PROper	PERS.=3|NOMB.=s|CAS=r				PERS.=3	NOMB.=s		CAS=r	se	O	
peuuent	peuuer	VERcjg	MODE=ind|PERS.=3|NOMB.=p		MODE=ind|		PERS.=3	NOMB.=p			peuvent	O	
perdre	perdre	VERinf	MORPH=empty	MORPH=empty							perdre	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
&	je	PONfbl	MORPH=empty	MORPH=empty							et	O	
n’	ne	ADVneg	MORPH=empty	MORPH=empty									
auez	avoir	VERcjg	MODE=ind|PERS.=2|NOMB.=p		MODE=ind|		PERS.=2	NOMB.=p			avez	O	
pas	pas	ADVneg	MORPH=empty	MORPH=empty							pas	O	
craint	craindre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			craint	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
leur	leur	DETpos	PERS.=3|NOMB.=s|GENRE=f				PERS.=3	NOMB.=s	GENRE=f		leur	O	
paſſiõ	passi	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		pasion	O	
deuſt	deust	VERcjg	NOMB.=p					NOMB.=p			dût	O	
plus	plus	ADVgen	MORPH=empty	MORPH=empty							plus	O	
durer	durer	VERinf	MORPH=empty	MORPH=empty							durer	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
voſtre	vôtre	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		votre	O	
innocence	innocence	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		innocence	O	
;	;	PONfbl	MORPH=empty	MORPH=empty							;	O	
cette	ce	DETdem	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		cette	O	
grãde	grdde	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		grande	O	
authorité	authorité	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		autorité	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
auiez	auiez	VERcjg	MODE=ind|PERS.=2|NOMB.=p		MODE=ind|		PERS.=2	NOMB.=p			aviez	O	
acquiſe	acquérir	ADVsub	MORPH=empty	MORPH=empty							acquise	O	
par	par	PRE	MORPH=empty	MORPH=empty							par	O	
voſtre	vôtre	VERinf	NOMB.=s					NOMB.=s			votre	O	
faueur	faueur	VERinf	NOMB.=s					NOMB.=s			faveur	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
l’	il	PROper	PERS.=3|NOMB.=s|CAS=r				PERS.=3	NOMB.=s		CAS=r			
auez	auez	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p		MODE=ind|		PERS.=2	NOMB.=p			avez	O	
depuis	depuis	PRE	MORPH=empty	MORPH=empty							depuis	O	
touſiours	tousiours	NOMcom	NOMB.=p					NOMB.=p			toujours	O	
maintenuë	maintenir	ADJqua	NOMB.=s					NOMB.=s			maintenue	O	
par	par	PRE	MORPH=empty	MORPH=empty							par	O	
voſtre	vôtre	ADJqua	NOMB.=s					NOMB.=s			votre	O	
courage	courage	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		courage	O	
.	.	PONfrt	MORPH=empty	MORPH=empty							.	O	
Dans	dans	PRE	MORPH=empty	MORPH=empty							Dans	O	
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		les	O	
mal	mal	NOMcom	GENRE=m						GENRE=m		mal	O	
-	-	PONfbl	MORPH=empty	MORPH=empty									
heurs	heurs	NOMcom	NOMB.=s					NOMB.=s			heurs	O	
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		du	O	
temps	temps	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		temps	O	
&	je	PONfbl	MORPH=empty	MORPH=empty							et	O	
l’	le	DETdef	NOMB.=s					NOMB.=s					
vſurpation	vsurpation	NOMcom	NOMB.=s					NOMB.=s			usurpation	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		la	O	
puiſſance	puissance	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		puissance	O	
legitime	legitime	VERcjg	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		légitime	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
auez	auez	VERcjg	MODE=ind|PERS.=2|NOMB.=p		MODE=ind|		PERS.=2	NOMB.=p			avez	O	
conſerué	conseruer	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		conservé	O	
tout	tout	DETind	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		tout	O	
ſeul	seul	ADJqua	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		seul	O	
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		la	O	
liberté	liberté	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		liberté	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		la	O	
France	France	NOMpro	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		France	B-loc	http://www.wikidata.org/entity/Q142
.	.	PONfrt	MORPH=empty	MORPH=empty							.	O	
Qui	qui	PROrel	MORPH=empty	MORPH=empty							Qui	O	
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			est	O	
-	-	PONfbl	GENRE=m						GENRE=m				
ce	ce	PROdem	NOMB.=s|GENRE=n					NOMB.=s	GENRE=n		ce	O	
qui	qui	PROrel	MORPH=empty	MORPH=empty							qui	O	
peut	pouvoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			peut	O	
dire	dire	VERinf	MORPH=empty	MORPH=empty							dire	O	
cela	cela	PROdem	NOMB.=s|GENRE=n					NOMB.=s	GENRE=n		cela	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
ſoy	soi	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		soi	O	
?	?	PONfrt	MORPH=empty	MORPH=empty							?	O	
Où	où	PROrel	MORPH=empty	MORPH=empty							Où	O	
ſont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p		MODE=ind|		PERS.=3	NOMB.=p			sont	O	
ceux	celui	PROdem	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		ceux	O	
qui	qui	PROrel	MORPH=empty	MORPH=empty							qui	O	
ſe	se	PROper	PERS.=3|NOMB.=s|CAS=r				PERS.=3	NOMB.=s		CAS=r	se	O	
ſont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p		MODE=ind|		PERS.=3	NOMB.=p			sont	O	
tenus	tenir	VERppe	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		tenus	O	
fermes	ferme	ADJqua	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m		fermes	O	
entre	entre	PRE	MORPH=empty	MORPH=empty							entre	O	
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		la	O	
rebelliõ	rebellir	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		rébellion	O	
&	s	PONfbl	MORPH=empty	MORPH=empty							et	O	
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		la	O	
ſeruitude	seruitude	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		servitude	O	
?	?	PONfrt	MORPH=empty	MORPH=empty							?	O	
En	en	PRE	MORPH=empty	MORPH=empty							En	O	
quel	quel	DETrel	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		quel	O	
tẽps	teps	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		temps	O	
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			a	O	
t’	tu	PROper	PERS.=2|NOMB.=s|CAS=r				PERS.=2	NOMB.=s		CAS=r			
õ	avoir	PROadv	MORPH=empty	MORPH=empty							on	O	
veu	veu	VERppe	NOMB.=s					NOMB.=s			vu	O	
vne	vn	ADJqua	GENRE=f						GENRE=f		une	O	
vieilleſſe	vieillesse	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		vieillesse	O	
ſi	si	ADVgen	MORPH=empty	MORPH=empty							si	O	
neceſſaire	necessaire	VERinf	NOMB.=s					NOMB.=s			nécessaire	O	
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		au	O	
monde	monde	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		monde	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
&	s	PRE.DETdef	MORPH=empty	MORPH=empty							et	O	
tant	tant	ADVgen	MORPH=empty	MORPH=empty							tant	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
bonne	bon	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		bonne	O	
&	s	PROcar	MORPH=empty	MORPH=empty							et	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
mauuaiſe	mauuaise	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		mauvaise	O	
fortune	fortune	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		fortune	O	
également	également	ADVgen	MORPH=empty	MORPH=empty							également	O	
glorieuſe	glorieux	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		glorieuse	O	
?	?	PONfrt	MORPH=empty	MORPH=empty							?	O	
Monſeigneur	Monseigneur	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		Monseigneur	B-pers	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
auez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p		MODE=ind|		PERS.=2	NOMB.=p			avez	O	
trop	trop	ADVgen	MORPH=empty	MORPH=empty							trop	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
cognoiſſance	cognoissance	NOMcom	GENRE=f						GENRE=f		connaissance	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
meſme	même	ADJind	NOMB.=p					NOMB.=p			même	O	
pour	pour	PRE	MORPH=empty	MORPH=empty							pour	O	
penſer	penser	VERinf	MORPH=empty	MORPH=empty							penser	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
ie	je	PROcar	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		je	O	
vous	vous	PROper	PERS.=2|NOMB.=p				PERS.=2	NOMB.=p			vous	O	
flatte	flatter	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s		MODE=sub|		PERS.=3	NOMB.=s			flatte	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
&	je	PRE	MORPH=empty	MORPH=empty							et	O	
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m				PERS.=1	NOMB.=s	GENRE=m		mon	O	
humeur	humeur	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		humeur	O	
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			est	O	
ſi	si	ADVgen	MORPH=empty	MORPH=empty							si	O	
eſloignee	esloigner	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		éloignée	O	
de	de	PRE	MORPH=empty	MORPH=empty							de	I-time	
toute	tout	DETind	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		toute	O	
action	action	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		action	O	
ſeruile	seruile	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		servile	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
que	que	CONsub	MORPH=empty	MORPH=empty							que	O	
